Unnamed: 0,Question,A,B,C,D,Answer,Subject,Subcategory
72,Annelids and arthropods are similar to each other in that members of both phyla,have segmented bodies,have a closed circulatory system,conduct gas exchange by diffusion through a moist membrane,have well-developed sense organs,A,college_biology,biology
60,"Although mutations occur at a regular and predictable rate, which of the following statements is the LEAST likely reason the frequency of mutation appears to be low?",Some mutations produce alleles that are recessive and may not be expressed.,Some undesirable phenotypic traits may be prevented from reproducing.,Some mutations cause such drastic phenotypic changes that they are removed from the gene pool.,The predictable rate of mutation results in ongoing variability in a gene pool.,D,high_school_biology,biology
140,"In fungi, cell walls are reinforced by which of the following?",Chitin,Silica,Lignin,Collagen fibers,A,college_biology,biology
208,"African lungfish often live in small, stagnant, freshwater pools. With reduced gills, they differ from other fish in that they breathe air. They also differ in that they release the nitrogen waste urea instead of ammonia. Which of the following statements correctly explains how this is an advantage for lungfish?",Urea is insoluble in water and sinks to the bottom of the small pools. Thus the poisonous substance is isolated from the fish.,"Ammonia, which is highly toxic, would endanger lungfish that inhabit the small pools.",Other fish in the small pools can use urea as an energy source.,The highly toxic urea makes the pool uninhabitable to competitors.,B,high_school_biology,biology
172,Which of these makes determining the evolutionary relatedness of different species based on the amino acid sequence of homologous proteins generally less accurate than determinations of relatedness based on the nucleotide sequences of homologous genes?,Silent mutations,Gene duplications,Translocation events that change gene sequences,Crossing-over,A,high_school_biology,biology
55,"In an experiment, the first cleavage plane of an amphibian zygote was manipulated so that the gray crescent was contained in only one of the two blastomeres that result from the first cleavage. The two blastomeres were then separated. What is the expected fate of the blastomeres?",The blastomere with the gray crescent will grow in size more quickly than the one without the gray crescent.,"The blastomere with the gray crescent will form a complete, but small, embryo.","The blastomere without the gray crescent will form a complete, but small, embryo.",The blastomere with the gray crescent will stop dividing and die before the second cleavage.,B,college_biology,biology
24,All of the following statements are true EXCEPT,thyroxine increases the rate of metabolism,insulin decreases storage of glycogen,vasopressin stimulates water reabsorption in the kidney,epinephrine increases blood sugar levels and heart rate,B,high_school_biology,biology
85,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?",The trait for gray is epistatic over the trait for black.,The trait for gray is epistatic over the trait for white.,The traits for black and white color demonstrate incomplete dominance.,The traits for black and white color demonstrate codominance.,C,high_school_biology,biology
146,Which of the following statements about the DNA in one of your liver cells is correct?,Your liver cells contain the same DNA as your white blood cells.,Most of the DNA in your liver cells will be transcribed but not translated.,Most of the DNA in your liver cells will be transcribed in the nucleus and translated in the cytoplasm.,"DNA in your liver cells contains genes unique to storing glycogen, while other cells do not contain those genes.",A,high_school_biology,biology
82,Adequate serum levels of calcium are maintained in humans by the secretion of,thyroxine,glucagon,growth hormone,parathyroid hormone,D,college_biology,biology
77,A plant that grows along a trellis exhibits,thigmotropism,phototropism,gravidotropism,negative gravidotropism,A,college_biology,biology
132,Mimicry is a strategy that has evolved through natural selection to increase the fitness of organisms to their environment. Which of the following represents a form of Batesian mimicry?,A type of millipede that is toxic to a toad is permanently avoided by the toad following the toad's initial attempt to consume it.,A moth exhibits false eyes at its tail end in order to disorient predators.,A moth exhibits nearly identical coloration to that of a stinging bee.,A ground-nesting gull chick displays a coloration pattern that is nearly indistinguishable from its surroundings.,C,college_biology,biology
179,Microtubules are protein filaments assembled from tubulin protein subunits. The chemical colchicine prevents the assembly of microtubules by binding to tubulin protein subunits. Which of the following cellular processes would be most impaired by the application of colchicine?,the alignment and separation of chromosomes during mitosis,the coordination of ribosomes and mRNA during protein synthesis,the movement of substances across the plasma membrane,the accumulation of protons inside the thylakoids of chloroplasts during chemiosmosis,A,high_school_biology,biology
117,Which of the following is the best explanation for why net primary productivity in terrestrial ecosystems tends to increase toward the tropics?,The higher species diversity in the tropics tends to increase plant growth.,There are lower metabolic costs to plant growth in the tropics.,The availability of water and warm temperatures in the tropics fosters photosynthesis.,The tropics have more predators that minimize herbivory.,C,college_biology,biology
255,"What is the best explanation for the fact that tuna, sharks, and dolphins all have a similar streamlined appearance?",They all share a recent common ancestor.,They all sustained the same set of mutations.,They acquire a streamlined body type to survive in their particular environment.,The streamlined body has a selective advantage in that environment.,D,high_school_biology,biology
76,"The higher the proportion of loci that are ""fixed"" in a population, the lower is that population's",nucleotide variability.,genetic polyploidy.,average heterozygosity.,A and C only,D,high_school_biology,biology
79,"In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?",All tall violet,1 tall violet: 1 dwarf violet,1 tall violet: 1 tall white: 1 dwarf violet: 1 dwarf white,1 tall violet: 1 tall white,D,college_biology,biology
300,"A scientist carries out a cross between two guinea pigs, both of which have black coats. Black hair coat is dominant over white hair coat. Three quarters of the offspring have black coats, and one quarter have white coats. The genotypes of the parents were most likely",bb Ã— bb,Bb Ã— Bb,Bb Ã— bb,BB Ã— Bb,B,high_school_biology,biology
9,"When an influenza virus enters a cell, it immediately starts to do which of the following?",Incorporate viral DNA into the host cellâ€™s chromosome,Destroy the host cellâ€™s transcriptional machinery,Replicate its genetic material and synthesize viral proteins,Use a viral copy of reverse transcriptase to manufacture viral DNA,C,college_biology,biology
130,Fossil evidence indicates that horses have gradually increased in size over geologic time. Which of the following terms best describes this?,artificial selection,directional selection,stabilizing selection,disruptive selection,B,high_school_biology,biology
237,"Certain populations of finches have long been isolated on the Galapagos Islands off the western coast of South America. Compared with the larger stock population of mainland finches, these separate populations exhibit far greater variation over a wider range of species. The variation among these numerous finch species is the result of",convergent evolution,divergent evolution,disruptive selection,stabilizing selection,B,high_school_biology,biology
103,"A biologist studied a population of squirrels for 15 years. During that time, the population was never fewer than 30 squirrels and never more than 45. Her data showed that over half of the squirrels born did not survive to reproduce, because of competition for food and predation. In a single generation, 90% of the squirrels that were born lived to reproduce, and the population increased to 80. Which inference(s) about this population might be true?",The amount of available food may have increased.,The number of predators may have decreased.,"The squirrels of subsequent generations should show greater levels of genetic variation than previous generations, because squirrels that would not have survived in the past will now survive.","A, B, and C",D,high_school_biology,biology
275,Which of the following is the source of oxygen produced during photosynthesis?,H2O,H2O2,CO2,CO,A,high_school_biology,biology
113,"In the presence of alcohol dehydrogenase, the rate of reduction of acetaldehyde to ethanol increases as the concentration of acetaldehyde is increased. Eventually, the rate of the reaction reaches a maximum, after which point further increases in the concentration of acetaldehyde have no effect. Which of the following is true at the maximal rate of reaction?",Nearly all of the enzyme molecules are interacting with acetaldehyde molecules.,The activation energy of the reaction decreases.,The change in free energy of the reaction decreases.,The enzyme is no longer specific for acetaldehyde.,A,college_biology,biology
304,The base composition of DNA varies from one species to another. Which of the following ratios would you expect to remain constant in the DNA?,Cytosine : Adenine,Pyrimidine : Purine,Adenine : Guanine,Guanine : Deoxyribose,B,high_school_biology,biology
76,The section of chromosome that serves as the site of attachment by the mitotic spindle during cell division is the,chromatophore,chromomere,kinetochore,centriole,C,college_biology,biology
136,Which of the following characteristics would allow you to distinguish a prokaryotic cell from an animal cell?,Ribosomes,Cell membrane,Chloroplasts,Cell wall,D,high_school_biology,biology
265,Which of the following is not a form of interspecies interaction?,Commensalism,Succession,Mutualism,Parasitism,B,high_school_biology,biology
124,A behavioral response called a fixed action pattern shown by animals,occurs the second time an animal is exposed to the correct stimulus at the appropriate time in its life,occurs in the absence of sensory feedback,is a motor response which once released may be terminated spontaneously,is triggered by a number of sensory signals in the animal's environment,B,college_biology,biology
78,"If the activity of an enzyme is constant over a broad range of pH values, it is likely that",only ionizing groups on the enzyme participate in the reaction,only ionizing groups on the substrate participate in the reaction,ionizing groups on both the enzyme and substrate participate in the reaction,no ionizing groups on the enzyme or substrate participate in the reaction,D,college_biology,biology
142,A piece of potato is dropped into a beaker of pure water. Which of the following describes the initial condition when the potato enters the water?,The water potential of the pure water is negative.,The water potential of the pure water is positive.,The water potential of the potato is positive.,The water potential of the potato is negative.,D,high_school_biology,biology
90,Hybrids between some related species of plants are sterile because the parent plants had different chromosome numbers. Occasionally the chromosome number of such a hybrid plant doubles spontaneously. Which of the following best describes the descendants of those plants with the double chromosome number?,The plant with the double chromosome number would be genetically defective and have no descendants.,The descendants would be at a selective advantage because of the increased ability to introgress.,The descendants would be reproductively successful because they could backcross with the parental species.,The descendants would regain the ability to reproduce sexually because chromosomes could pair normally.,D,college_biology,biology
279,"When a retrovirus inserted its DNA into the middle of a bacterial gene, it altered the normal reading frame by one base pair. This type of mutation is called",duplication,translocation,inversion,frameshift mutation,D,high_school_biology,biology
73,Approximately what fraction of the human genome encodes proteins?,2%,25%,50%,90%,A,college_biology,biology
9,"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations?",Selection for drab coloration of the algae-eaters,Selection for nocturnal algae-eaters (active only at night),"Selection for larger female algae-eaters, bearing broods composed of more, and larger, young",Selection for algae-eaters that become sexually mature at smaller overall body sizes,C,high_school_biology,biology
75,Which of the following is true of organisms belonging to the kingdom Protista?,They are eukaryotic.,They include the cyanobacteria.,They are heterotrophic.,They possess cell walls composed of peptidoglycan.,A,college_biology,biology
70,Immunoglobulins having epsilon heavy chains and located on the plasma membranes of mast cells and basophilic leukocytes belong to the class of antibodies called,IgE,IgA,IgD,IgM,A,college_biology,biology
94,All viruses contain at least these two principal components:,DNA and proteins,nucleic acid and a capsid,DNA and cell membrane,RNA and cell wall,B,high_school_biology,biology
267,"Structures as different as human arms, bat wings, and dolphin flippers contain many of the same bones, these bones having developed from very similar embryonic tissues. How do biologists interpret these similarities?",By identifying the bones as being homologous,By the principle of convergent evolution,"By proposing that humans, bats, and dolphins share a common ancestor",A and C only,D,high_school_biology,biology
246,"A researcher is experimenting with nerve transmission using neurons from a giant squid. At the beginning of the experiment, the axon is at rest and has a threshold measured at â€“70 mV at 37oC. The axon receives one stimulus that triggers one action potential in the axon. Subsequent stimuli are much stronger. Which of the following statements explains what happens when several strong stimuli are experienced by the axon?",The axon becomes hyperpolarized to â€“90 mV.,The axon becomes hyperpolarized to â€“50 mV.,The strength of the action potential becomes greater.,The frequency of the action potential increases.,D,high_school_biology,biology
196,"If two modern organisms are distantly related in an evolutionary sense, then one should expect that",they live in very different habitats.,they should share fewer homologous structures than two more closely related organisms.,their chromosomes should be very similar.,they shared a common ancestor relatively recently.,B,high_school_biology,biology
33,All of the following characteristics are typical of r-selected species EXCEPT,high reproductive rate,small body size,occupancy of unstable environments,high competitive ability,D,college_biology,biology
102,Which of the following is NOT a characteristic of asexual reproduction in animals?,Daughter cells have the same number of chromosomes as the parent cell.,Daughter cells are identical to the parent cell.,The parent cell produces diploid cells.,The daughter cells fuse to form a zygote.,D,high_school_biology,biology
170,Which of the following statements about meiosis is correct?,The daughter cells are genetically identical to the parent cells.,Homologues pair during prophase II.,DNA replication occurs before meiosis I and meiosis II.,The number of chromosomes is reduced.,D,high_school_biology,biology
21,"The calypso orchid, Calypso bulbosa, grows in close association with mycorrhizae fungi. The fungi penetrate the roots of the flower and take advantage of the plant's food resources. The fungi concentrate rare minerals, such as phosphates, in the roots and make them readily accessible to the orchid. This situation is an example of",parasitism,commensalism,mutualism,endosymbiosis,C,high_school_biology,biology
131,Which describes an African butterfly species that exists in two strikingly different color patterns?,artificial selection,directional selection,stabilizing selection,disruptive selection,D,high_school_biology,biology
11,Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,Plasma membrane,Lysosome,Cytosol,Chloroplast,D,college_biology,biology
254,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?",Adaptive radiation,Divergent selection,Equilibrium,Polyploidy,D,high_school_biology,biology
15,A rise in intracellular free calcium in the sea urchin oocyte causes the release of proteolytic enzymes which act to prevent polyspermy. The events just described entail the,zona reaction,acrosomal reaction,cortical reaction,fertilization reaction,C,college_biology,biology
297,"This process has as its products NADP+, ADP, and sugar.",Glycolysis,Chemiosmosis,Fermentation,Calvin cycle,D,high_school_biology,biology
52,The Krebs cycle in humans occurs in the,mitochondrial matrix,inner mitochondrial membrane,outer mitochondrial membrane,intermembrane space,A,high_school_biology,biology
0,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",maintain the population at a point corresponding to the midpoint of its logistic curve,opt for zero population control once the K value of the curve has been reached,reduce the carrying capacity cif the environment to lower the K value,increase the mortality rate,C,college_biology,biology
19,The soils of which of the following biomes has the highest rate of leaching and cycling of nutrients?,Tropical rain forest,Tundra,Taiga,Desert,A,college_biology,biology
147,Energy is harvested during cellular respiration in stages. Which of the following correctly states which phase of cellular respiration harvests the most energy and the correct explanation why?,The most energy is released during the Krebs cycle because it is here that pyruvate is completely broken down into CO2.,"The most energy is released during the Krebs cycle because in addition to the production of ATP, both FADH2 and NADH are produced. Each of those molecules will release 2 ATPs and 3 ATPs, respectively.","The most energy is released during oxidative phosphorylation because in addition to the phosphorylation of ADP into ATP, all the potential energy held in NADH and FADH is transferred to ATP.",The most energy is released during oxidative phosphorylation because H2O is completely broken down into H+ and O2.,C,high_school_biology,biology
209,Which of the following statements about the immune system is NOT correct?,"Innate immunity, also known as the adaptive immune response, relies on circulating phagocytes engulfing foreign substances.",Adaptive immunity is a slower response than innate immunity.,Innate immunity activates a humoral response.,Dendritic cells are antigen presenting cells.,A,high_school_biology,biology
56,"Nerve outgrowth from a developing neuron begins at the growth cone, located at the tip of the axon. Microspikes of the growth cone extend and retract in order to move the growth cone forward. Exposure of the neuron to cytochasalin B at this stage of development causes",microtubules in the axon to undergo reversible dissociation,microtubules in the axon to undergo irreversible dissociation,microfilaments in the microspike to undergo reversible depolymerization,microfilaments in the microspike to undergo irreversible depolymerization,C,college_biology,biology
284,Viruses are considered an exception to the cell theory because they,are not independent organisms,have only a few genes,move about via their tails,have evolved from ancestral protists,A,high_school_biology,biology
118,All of the following organs in the digestive system secrete digestive enzymes EXCEPT the,mouth,stomach,gall bladder,small intestine,C,high_school_biology,biology
155,Photosynthesis requires,"glucose, light, CO2","light, CO2, water","water, soil, O2","O2, water, light",B,high_school_biology,biology
64,This biome contains trees that drop their leaves during the winter months.,Desert,Tundra,Taiga,Deciduous forests,D,high_school_biology,biology
260,Charles Darwin was the first person to propose,that evolution occurs.,a mechanism for how evolution occurs.,that the Earth is older than a few thousand years.,a mechanism for evolution that was supported by evidence.,D,high_school_biology,biology
249,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following is likely to exhibit the process described earlier?",Fallow deer,Fruit flies,Grass,Spotted toads,C,high_school_biology,biology
25,"The process in which pioneer species colonize a bare substrate such as rock, sand, or glacial till is known as",weathering,stabilizing succession,secondary succession,primary succession,D,college_biology,biology
49,Which of the following is a biotic factor that could affect the growth rate of a population?,Volcanic eruption,Glacier melting,Destruction of the ozone layer,Sudden reduction in the animal food resource,C,high_school_biology,biology
93,"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?",a single strand of the original DNA segment,a single strand of the original DNA segment after a point mutation,the primary RNA transcript (before splicing) from the original DNA,a single strand of complementary DNA (cDNA) made from the original DNA,D,high_school_biology,biology
278,Crossing-over occurs during which of the following phases in meiosis?,Prophase I,Metaphase I,Anaphase I,Prophase II,A,high_school_biology,biology
42,Which of the following would increase the rate at which a gas diffuses between the alveoli of the lung and the blood within a pulmonary capillary?,Decreasing the partial pressure gradient of the gas,Decreasing the solubility of the gas in water,Increasing the total surface area available for diffusion,Decreasing the rate of blood flow through the pulmonary capillary,C,college_biology,biology
122,Which of the following is an example of a cline?,The hybrid tomato plant is stronger and produces better fruit than the pure genotype.,There are two distinct varieties in one population of snail that inhabits an island in the Pacific Ocean.,Males of some species have long antlers to fight other males for females.,"In one species of rabbit, the ones that evolved in the cold, snowy north are white, while the ones that evolved in the south are brown.",D,high_school_biology,biology
301,"The tandem back-and-forth evolution of closely related species, which is exemplified by predator-prey relationships.",Divergent evolution,Convergent evolution,Parallel evolution,Coevolution,D,high_school_biology,biology
116,The ability of the brain to detect differences in stimulus intensity is best explained by the fact that which of the following varies with the stimulus intensity?,The amplitude of the action potential,The threshold potential,The number of action potentials per second,The number of synapses crossed,C,college_biology,biology
41,Which of the following statements best summarizes evolution as it is viewed today?,It is goal-directed.,It represents the result of selection for acquired characteristics.,It is synonymous with the process of gene flow.,It is the differential survival and reproduction of the most-fit phenotypes.,D,high_school_biology,biology
145,Incomplete dominance and epistasis are two terms that define genetic relationships. Which of the following statements best describes the differences or similarities between the two terms?,Both terms describe inheritance controlled by the interaction of multiple alleles at different loci.,Both terms describe inheritance controlled by the interaction of multiple genes at different loci.,Incomplete dominance describes the interaction of two genes at different loci; epistasis describes the interaction of two alleles.,Incomplete dominance describes the interaction of two alleles on one gene; epistasis describes the interaction of two genes and their respective alleles.,D,high_school_biology,biology
286,"If a forest of fir, birch, and white spruce trees was devastated by fire, which of the following would most likely happen?",Only animal life would continue to inhabit the region.,Secondary succession would begin to occur.,Only tough grasses would appear.,The number of species would stabilize as the ecosystem matures.,B,high_school_biology,biology
22,The wings of a bat and the wings of a butterfly are,homologous structures,analogous structures,vestigial structures,dissimilar in form and function,B,college_biology,biology
46,A healthy person sitting at rest consciously begins to breathe too fast. Which of the following describes the change in the personâ€™s blood caused by this hyperventilation?,A decrease in partial pressure of carbon dioxide and an increase in concentration of hydrogen ions,A decrease in partial pressure of carbon dioxide and a decrease in concentration of hydrogen ions,An increase in partial pressure of carbon dioxide and an increase in concentration of hydrogen ions,An increase in partial pressure of carbon dioxide and a decrease in concentration of hydrogen ions,B,college_biology,biology
295,"A large island is devastated by a volcanic eruption. Most of the horses die except for the heaviest males and heaviest females of the group. They survive, reproduce, and perpetuate the population. Since weight is highly heritable and the distribution of weights approximates a binomial distribution, the offspring of the next generation would be expected to have",a higher mean weight compared with their parents,a lower mean weight compared with their parents,the same mean weight as members of the original population,a higher mean weight compared with members of the original population,D,high_school_biology,biology
305,Which is a true statement concerning genetic variation?,It is created by the direct action of natural selection.,It arises in response to changes in the environment.,It must be present in a population before natural selection can act upon the population.,It tends to be reduced by the processes involved when diploid organisms produce gametes.,C,high_school_biology,biology
137,Which of the following active pools of carbon is the largest on Earth and contributes the most to carbon cycling?,The atmosphere,Rain-forest vegetation,Recoverable fossil fuels,The oceans,D,college_biology,biology
93,Which of the following statements about fungi is NOT true?,They all are eukaryotic.,They all have rigid cell walls.,Most are filamentous.,Some are photosynthetic.,D,college_biology,biology
57,Monoclonal antisera are distinguished from polyclonal antisera in which of the following ways?,Each type of antibody in a monoclonal antiserum reacts against a single region of a single antigen; each type of antibody in a polyclonal antiserum reacts against multiple regions of different antigens.,A monoclonal antibody reacts against multiple regions of a single antigen; a polyclonal antibody reacts against a single region of related antigens.,A monoclonal antiserum contains antibodies secreted from the descendants of a single B lymphocyte; a polyclonal antiserum contains antibodies secreted from the descendants of different B lymphocytes.,A monoclonal antiserum contains antibodies secreted from the descendants of a single B lymphocyte; a polyclonal antiserum contains antibodies secreted from the descendants of both B and T lymphocytes.,C,college_biology,biology
10,A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery?,Helper T cells,Cytotoxic T cells,Memory cells,Plasma cells,C,high_school_biology,biology
24,Mobile regions of DNA capable of inserting themselves into an existing genome are,prions,cistrons,introns,transposons,D,college_biology,biology
17,"Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is most likely",entirely learned during development,entirely instinctive,both instinctive and learned,dependent upon hormones for proper development,C,college_biology,biology
66,The first point of entry of water at the roots of a monocot plant is through the cytoplasm of cells of the,root cap,Casparian strip,pericycle,endoderm,D,college_biology,biology
227,snRNPs are most closely associated with which of the following?,Cell division,Apoptosis,Replication of DNA,RNA processing,D,high_school_biology,biology
109,What was the prevailing notion prior to the time of Lyell and Darwin?,"Earth is a few thousand years old, and populations are unchanging.","Earth is a few thousand years old, and populations gradually change.","Earth is millions of years old, and populations rapidly change.","Earth is millions of years old, and populations are unchanging.",A,high_school_biology,biology
31,Which of the following is typically NOT found in normal somatic cells of a human male?,The entire genetic information possessed by the original zygote,An inactivated X chromosome,Forty-four autosomes,A diploid nucleus,B,college_biology,biology
84,Which is a characteristic unique to angiosperms?,Wind-borne pollen,A dominant sporophyte life cycle,Alteration of generations,Double fertilization,D,college_biology,biology
167,A lizard lacking a chemical defense mechanism that is colored in the same way as a lizard that has a defense mechanism is displaying,aposometric coloration.,cryptic coloration.,Batesian mimicry.,MÃ¼llerian mimicry.,C,high_school_biology,biology
126,"Double fertilization is a unique feature of flowering plants. In this process, one sperm unites with the egg to yield a zygote. The second sperm unites with the polar nuclei to initiate the formation of the",megagametophyte,endodermis,embryo,endosperm,D,college_biology,biology
192,Services are characterized by five distinct characteristics. These are:,"Intangibility, value, variability, inseparability, and a lack of ownership.","Intangibility, value, variability, inseparability, and profitability.","Intangibility, perishability, variability, inseparability, and a lack of ownership.","Intangibility, value, variability, inseparability, and relationship.",C,marketing,business
78,"What are, according to Wood (1991), the three outcomes of CSR?","Social policies, Social programmes and Social impacts","Social evaluations, Social programmes and Social impacts","Social policies, Social evidencing and Social impacts","Social policies, Social programmes and Social analysis",A,business_ethics,business
75,"Second-hand data, collected for someone else's purposes, is known as____________:",Primary research.,Descriptive research.,Causal research.,Secondary research.,D,marketing,business
102, _______________ are used in the positioning process to illustrate differing attributes of a selection of brands.,Product features.,SIC code.,Perceptual maps.,Organizational characteristics.,C,marketing,business
122, These objectives are often employed in mature markets as firms/products enter a decline phase. The goal is to maximize short-term profits and stimulate a positive cash flow.,Divest objectives.,Hold objectives.,Growth objectives.,Harvesting objectives.,D,marketing,business
86," To highlight the variation in approaches to purchasing behaviour, Svahn and Westerlund (2009) identify six principal purchasing strategies used by organizations. The __________ strategy refers to a buyer's efficiency orientation where the main purchasing goal is to seek the lowest price for the offering. To help achieve this, the buyer actively promotes competition among several potential suppliers.",'Bargainer' purchasing.,The 'adaptator' purchasing.,Price minimizer' purchasing.,The 'projector' purchasing.,C,marketing,business
15,A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,Search marketing.,Internet advertising.,Permission-based email marketing.,Social web marketing.,C,marketing,business
82,"Negative advertising, stealing or poaching customers and predatory pricing are all strategies employed by businesses described using the umbrella term ________.",Reasonable competitive behaviour,Swindles,Competitive tricks,Dirty tricks,D,business_ethics,business
229,"Conflict between sequential members in a distribution network, such as producers, distributor, and retailers, over such matters as carrying a particular range or price increases is referred to as:",Channel conflict.,Horizontal conflict.,Vertical conflict.,Supply chain conflict.,C,marketing,business
199," Internet-based organizations designed to provide information to channel members, including end-users are referred to as:",Infomediaries.,Retailers.,Department stores.,Wholesalers.,A,marketing,business
87," In conducting international market research, there are three types of equivalence. Which of the following is NOT one of the equivalences?",Conceptual equivalence.,Market equivalence.,Functional equivalence.,Translation equivalence.,B,marketing,business
75," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.","Interest, Certain, Speculative, Intangible assets","Interest, Uncertain, Assured, Intangible assets","Interest, Uncertain, Speculative, Tangible assets","Interest, Certain, Assured, Tangible assets",C,business_ethics,business
22,Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?,Cognition.,Perception.,Learning.,Personality.,D,marketing,business
191, A database of information that is maintained by human editors and lists websites by category and subcategory with categorization is known as:,A search directory.,Automated voice response (AVR).,Apps.,SEO.,A,marketing,business
55,Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,management,business
76,"________ reasoning is considered by many to be prevalent within society and particularly within businesses, where it is often referred to in the form of a ___________.","Consequentialist, Cost-benefit analysis","Rationalised, Annual audit","Consequentialist, Annual audit","Rationalised, Cost-benefit analysis",A,business_ethics,business
228, In order for exchange to occur:,A complex societal system must be involved.,Organized marketing activities must also occur.,A profit-oriented organization must be involved.,Each party must have something of value to the other party.,D,marketing,business
92,Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,management,business
