model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate,Subcategory
new_0.2_order_bias_mistral-small_cot_zh,0.6675,0.6,0.7,0.7,0.67,0.0611990061362104,0.6,0.7,0.7,0.67,0.0408503365959204,0.6025,health
order_bias_gpt-4o_zh,0.8375,0.84,0.83,0.82,0.86,0.0176599396510436,0.84,0.83,0.82,0.86,0.014790199457749,0.6775,business
order_bias_gpt-4o_en,0.875,0.87,0.85,0.88,0.9,0.0206031501455085,0.87,0.85,0.88,0.9,0.0180277563773199,0.7,business
order_bias_mistral-small_cot_en,0.85,0.85,0.85,0.86,0.84,0.008318903308077,0.85,0.85,0.86,0.84,0.0070710678118654,0.6825,business
order_bias_mistral-small_cot_zh,0.79,0.74,0.81,0.83,0.78,0.0429261391337042,0.74,0.81,0.83,0.78,0.0339116499156263,0.67,business
new_0.2_order_bias_mistral-small_cot_en,0.84,0.84,0.84,0.84,0.84,0.0,0.84,0.84,0.84,0.84,0.0,0.69,business
new_0.2_order_bias_mistral-small_cot_zh,0.7625,0.74,0.78,0.78,0.75,0.0234145194378454,0.74,0.78,0.78,0.75,0.0178535710713571,0.6725,business
order_bias_gpt-4o_zh,0.8825,0.83,0.87,0.91,0.92,0.0403620590616856,0.83,0.87,0.91,0.92,0.0356195171219375,0.7025,geography
order_bias_gpt-4o_en,0.9075,0.91,0.91,0.9,0.91,0.0047714898280134,0.91,0.91,0.9,0.91,0.0043301270189221,0.7325,geography
order_bias_mistral-small_cot_en,0.8425,0.79,0.85,0.88,0.85,0.038803254690273,0.79,0.85,0.88,0.85,0.032691742076555,0.69,geography
order_bias_mistral-small_cot_zh,0.7725,0.7,0.81,0.8,0.78,0.05595992383751,0.7,0.81,0.8,0.78,0.0432290411644764,0.6775,geography
new_0.2_order_bias_mistral-small_cot_en,0.8425,0.8,0.87,0.87,0.83,0.0349846472479275,0.8,0.87,0.87,0.83,0.0294745653063789,0.695,geography
new_0.2_order_bias_mistral-small_cot_zh,0.725,0.65,0.77,0.75,0.73,0.0628305764078917,0.65,0.77,0.75,0.73,0.0455521678957214,0.6575,geography
order_bias_gpt-4o_zh,0.785,0.75,0.74,0.81,0.84,0.0529084322478858,0.75,0.74,0.81,0.84,0.0415331193145903,0.6675,engineering
order_bias_gpt-4o_en,0.8275,0.77,0.8,0.88,0.86,0.0536200584570962,0.77,0.8,0.88,0.86,0.0443705983732471,0.695,engineering
order_bias_mistral-small_cot_en,0.7625,0.71,0.76,0.78,0.8,0.0438658628205234,0.71,0.76,0.78,0.8,0.0334477204006491,0.65,engineering
order_bias_mistral-small_cot_zh,0.6875,0.59,0.69,0.73,0.74,0.0862822583105794,0.59,0.69,0.73,0.74,0.0593190525885233,0.64,engineering
new_0.2_order_bias_mistral-small_cot_en,0.68,0.64,0.71,0.67,0.7,0.0402737174636151,0.64,0.71,0.67,0.7,0.0273861278752582,0.625,engineering
new_0.2_order_bias_mistral-small_cot_zh,0.6225,0.58,0.61,0.66,0.64,0.0486921913774383,0.58,0.61,0.66,0.64,0.0303108891324553,0.635,engineering
order_bias_gpt-4o_zh,0.8725,0.84,0.88,0.86,0.91,0.0296391989478183,0.84,0.88,0.86,0.91,0.0258602010819715,0.7125,economics
order_bias_gpt-4o_en,0.9075,0.86,0.92,0.94,0.91,0.0324788598417399,0.86,0.92,0.94,0.91,0.0294745653063789,0.72,economics
order_bias_mistral-small_cot_en,0.8325,0.8,0.83,0.86,0.84,0.0260067688824155,0.8,0.83,0.86,0.84,0.0216506350946109,0.7075,economics
order_bias_mistral-small_cot_zh,0.7425,0.72,0.75,0.77,0.73,0.0258624435955172,0.72,0.75,0.77,0.73,0.0192028643696715,0.695,economics
new_0.2_order_bias_mistral-small_cot_en,0.78,0.75,0.79,0.81,0.77,0.0286675381730742,0.75,0.79,0.81,0.77,0.0223606797749979,0.6825,economics
new_0.2_order_bias_mistral-small_cot_zh,0.7325,0.71,0.72,0.77,0.73,0.0310936299629498,0.71,0.72,0.77,0.73,0.0227760839478607,0.6925,economics
order_bias_gpt-4o_zh,0.8475,0.84,0.84,0.86,0.85,0.0097835539538507,0.84,0.84,0.86,0.85,0.0082915619758885,0.7175,culture
order_bias_gpt-4o_en,0.915,0.88,0.88,0.96,0.94,0.0390241990630756,0.88,0.88,0.96,0.94,0.0357071421427142,0.7025,culture
order_bias_mistral-small_cot_en,0.8625,0.82,0.87,0.9,0.86,0.0331754293978539,0.82,0.87,0.9,0.86,0.028613807855649,0.7025,culture
order_bias_mistral-small_cot_zh,0.81,0.75,0.86,0.85,0.78,0.0572445586141709,0.75,0.86,0.85,0.78,0.0463680924774785,0.6875,culture
new_0.2_order_bias_mistral-small_cot_en,0.8275,0.81,0.84,0.85,0.81,0.021575312472939,0.81,0.84,0.85,0.81,0.017853571071357,0.6925,culture
new_0.2_order_bias_mistral-small_cot_zh,0.7,0.66,0.74,0.73,0.67,0.0505076272276105,0.66,0.74,0.73,0.67,0.0353553390593273,0.67,culture
order_bias_gpt-4o_zh,0.8825,0.86,0.88,0.9,0.89,0.0167594328133133,0.86,0.88,0.9,0.89,0.014790199457749,0.7125,computer science
order_bias_gpt-4o_en,0.885,0.9,0.85,0.88,0.91,0.0258902581635923,0.9,0.85,0.88,0.91,0.0229128784747792,0.725,computer science
order_bias_mistral-small_cot_en,0.79,0.79,0.77,0.82,0.78,0.0236813758656578,0.79,0.77,0.82,0.78,0.0187082869338696,0.6725,computer science
order_bias_mistral-small_cot_zh,0.74,0.69,0.76,0.76,0.75,0.0393983236138196,0.69,0.76,0.76,0.75,0.0291547594742265,0.6675,computer science
new_0.2_order_bias_mistral-small_cot_en,0.77,0.78,0.75,0.8,0.75,0.0275496148514239,0.78,0.75,0.8,0.75,0.0212132034355964,0.6625,computer science
new_0.2_order_bias_mistral-small_cot_zh,0.7275,0.7,0.73,0.73,0.75,0.0245409911633775,0.7,0.73,0.73,0.75,0.0178535710713571,0.6775,computer science
order_bias_gpt-4o_zh,0.825,0.81,0.81,0.84,0.84,0.0181818181818181,0.81,0.81,0.84,0.84,0.0149999999999999,0.71,chemistry
order_bias_gpt-4o_en,0.83,0.81,0.84,0.83,0.84,0.0147559623059227,0.81,0.84,0.83,0.84,0.0122474487139158,0.705,chemistry
order_bias_mistral-small_cot_en,0.72,0.68,0.75,0.74,0.71,0.0380362887156365,0.68,0.75,0.74,0.71,0.0273861278752582,0.6725,chemistry
order_bias_mistral-small_cot_zh,0.7,0.69,0.73,0.72,0.66,0.0391230398217975,0.69,0.73,0.72,0.66,0.0273861278752582,0.6625,chemistry
new_0.2_order_bias_mistral-small_cot_en,0.6475,0.62,0.68,0.66,0.63,0.0368316293983377,0.62,0.68,0.66,0.63,0.0238484800354236,0.66,chemistry
new_0.2_order_bias_mistral-small_cot_zh,0.6625,0.68,0.67,0.67,0.63,0.0289854556523343,0.68,0.67,0.67,0.63,0.0192028643696715,0.6575,chemistry
order_bias_gpt-4o_zh,0.875,0.85,0.87,0.89,0.89,0.0189521416591737,0.85,0.87,0.89,0.89,0.016583123951777,0.7,psychology
order_bias_gpt-4o_en,0.9525,0.94,0.94,0.96,0.97,0.013638195335188,0.94,0.94,0.96,0.97,0.0129903810567665,0.735,psychology
order_bias_mistral-small_cot_en,0.875,0.87,0.88,0.86,0.89,0.0127775312999988,0.87,0.88,0.86,0.89,0.0111803398874989,0.7025,psychology
order_bias_mistral-small_cot_zh,0.82,0.81,0.8,0.86,0.81,0.0286000960964842,0.81,0.8,0.86,0.81,0.0234520787991171,0.6875,psychology
new_0.2_order_bias_mistral-small_cot_en,0.8075,0.82,0.79,0.82,0.8,0.016087159203426,0.82,0.79,0.82,0.8,0.0129903810567665,0.6875,psychology
new_0.2_order_bias_mistral-small_cot_zh,0.785,0.77,0.77,0.82,0.78,0.02626181927145,0.77,0.77,0.82,0.78,0.0206155281280882,0.6875,psychology
